feature_1,Category,Family,Type,Length,Family and Type,Type Id,Type Name,Family Name,Base Offset,Top Offset,Volume,Structural Material,Area,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Width,Foundation Thickness,Structural Usage,Elevation from Level,Offset,Mark,Thickness,Unconnected Height,Base Offset From Level,Maximum Ridge Height,Absorptance,Default Thickness,Coarse Scale Fill Color,Height Offset From Level,Perimeter,Sill Height,Head Height,Wall Closure,Panel Width,Location Line,Number,price
101,2,5,54,103840.67341352614,28,52,21,3,586.7275379689543,-905.7082343698787,3,10137610.161198359,19,41560.46839001485,37797.25104571293,37904.562552403746,38776.00400691548,624.6831581172182,279.38042647205185,0.6381775887931281,-12008.04493604556,38.00319587097176,4919.447662105556,54.96131500534943,3347.0747118641143,682.9057933278938,45001.88728583763,0.09999999999999992,149.4019603377075,3407319.709245169,1159.2244061097983,30280.144968608336,872.1091397038103,1299.9886148068033,0.665496427717037,1221.7915433782737,1.635095699976158,1.014654426315642,155766.4035152598
138,17,5,22,35617.84167427747,6,1,6,30,521.6170323688234,-367.26746483351826,1,10409297.098457526,27,39034.32963034439,38162.538987505184,42080.99214175819,38386.074849056495,3073.7198283700404,253.10512313191805,0.16244123817955602,-10826.169849850092,46.61466609852374,5782.3508573144645,164.19302852857126,3287.8971830585965,636.843238935971,44932.18159118811,0.09999999999999999,84.23905311215256,11075530.95777927,-230.53588469902877,67062.70185347005,361.5568596404139,2778.4413051558863,1.6975189279607314,1102.929125600521,0.8076013393538475,3.627872648397512,155766.4035152598
172,10,5,36,95346.01595359766,50,32,40,40,2535.3073174898477,-145.67070193572863,0,10109088.280064529,21,41774.11792809032,37649.13772116113,38382.442545670136,38768.99787020142,2301.7248911124243,240.9746885674391,0.30713676816276525,-672.9575961870578,20.558351792663654,543.0355884727487,13.382865793994185,1520.664658224934,670.1417120921026,44821.76061586431,0.09999999999999998,16.389173459687267,15311169.058900319,1493.5753208754927,83390.21368403558,434.8636122207116,2156.655937758611,3.3403403592227012,960.6727897401095,0.5565759581450977,2.4608693530589427,155766.4035152598
9,3,54,43,54477.28490849838,26,6,10,24,2921.56051057669,-1401.4070793886513,0,9677146.96866463,16,40986.77444015833,38015.59349507678,38837.38472104339,38794.70479370738,2950.637027425404,264.49295755148376,0.05088752507383387,-7046.055475145746,40.55756804210658,3022.2394079894243,105.85343917188497,2781.91303087726,790.6076666820695,45252.254077749734,0.09999999999999995,50.0503850309018,11584340.968430324,191.88509256325926,8725.606122144673,315.11731418772024,2857.8594490307028,0.9486110934335383,1037.3714223336406,1.249904852338048,3.029730006829766,155766.4035152598
110,2,6,38,99295.88377736222,6,26,26,31,2154.9466730839185,-232.37033328131247,32,5462003.1856467,13,39199.867698550115,37918.02997400443,38456.23617857421,38795.21857255139,1427.1197248024637,278.23532848400265,0.47531295816239794,-9937.84206153918,17.489033353773838,5023.452728399699,15.535648857770617,1225.7400486999966,125.78410096054836,43261.57860495809,0.09999999999999985,31.445887548552726,13005792.952435575,-10.759423600294667,28200.420684056924,728.2837919892665,89.53938098218238,1.9918432411092737,1222.6933760435352,1.3899851044397242,1.2744024177250064,155766.4035152598
76,6,6,26,62178.81205951933,6,45,50,24,94.45620417688929,-2342.0211334857654,3,9389799.11593155,0,39501.79148990679,37851.033819668526,39019.075319778436,38513.07434136502,4046.7756139564017,274.1678423575559,0.9610065303331244,-5361.469641428099,11.924241139844904,5040.272114394407,56.22491694729168,3880.698022775329,493.8547341120084,44903.24783769422,0.09999999999999987,215.8116677099741,9030262.518119995,2096.094235049081,94473.44928428251,159.70123239744316,238.05208224708363,2.4050570564525633,1190.728167382309,0.05133007304826176,3.2117910582188136,155766.4035152598
29,2,5,13,58520.09471968686,37,5,5,3,324.76613911269146,-1610.655311514322,0,9728488.170612084,0,41380.250015177204,38443.56489430102,39244.0360335786,38184.91571449149,2234.114691758201,255.74228808010716,0.2769613651450906,-37094.23035017126,15.453290039994899,3770.330250901989,187.85651880189153,3400.558507710092,423.4754328775744,44443.36230463801,0.09999999999999994,98.33150185146533,13727014.34859916,744.9556381554607,54013.07782329586,422.180983722989,1940.7729665475797,1.7906918340926588,817.3117196509343,0.1674233058320671,1.6142665647182652,155766.4035152598
266,17,13,41,69766.1485818732,26,8,54,34,1099.5129888182637,-1871.320694132803,74,5460552.675177454,1,40770.53903746666,38610.298738757156,40048.73306287858,37803.46157251099,4609.998902216471,259.00797540238744,0.1992203237700031,-38702.04765909193,8.025960950960759,4045.8340330031274,134.74753943640533,994.0784586909504,626.7002342034104,43767.92513070186,0.09999999999999994,74.9460630907632,60581.5616707558,375.60212662831407,58303.2665619089,441.67417921744936,919.0085771638351,2.331039721081657,921.6213686264264,1.3434407730800968,1.324853962392761,155766.4035152598
262,3,13,10,110036.5957993871,13,32,54,29,2402.772337713607,-151.8615624639283,5,1728038.5757672067,27,40352.046193337424,38448.80060976518,42143.03113245676,37846.5730047956,4360.297912131895,266.67230452030964,0.4300090825656837,-21789.663448657808,11.152332323202085,3832.0606661604415,218.70760251832453,3230.9043362889697,659.2078858864722,43018.51680836263,0.09999999999999995,177.08302149214796,14454892.572713695,2093.833442400369,25431.435255661345,361.4859200241573,2026.1405804316255,3.6301819041402283,1020.5011342660819,1.3418470362575017,1.7370605573119378,155766.4035152598
61,7,38,1,15913.105776159222,5,32,13,31,-745.921908707435,-971.8258906782205,1,4968354.466179904,1,39377.40835581486,37627.55780579374,39970.07459305055,38285.368136106554,771.071812556729,240.21211360507166,0.10142550567578024,-25711.24216900616,3.9910186585640997,3517.6118003428705,51.05022626174495,3029.5709825717154,856.3610982594215,43979.08303738776,0.09999999999999996,176.62630395191442,9729238.61754412,1323.3000615003295,39036.06106221065,-217.00234364895368,1061.7984691818863,2.6939060874821408,1171.8322619412136,0.4178343836283196,2.3270300747120305,155766.4035152598
