feature_1,Category,Family,Type,Length,Family and Type,Type Id,Type Name,Family Name,Base Offset,Top Offset,Volume,Structural Material,Area,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Width,Foundation Thickness,Structural Usage,Elevation from Level,Offset,Mark,Thickness,Unconnected Height,Base Offset From Level,Maximum Ridge Height,Absorptance,Default Thickness,Coarse Scale Fill Color,Height Offset From Level,Perimeter,Sill Height,Head Height,Wall Closure,Panel Width,Location Line,Number,price
71,3,6,45,107163.74939769934,13,32,36,10,-735.9894416164313,1438.4416378152391,31,9671333.919076324,0,38497.867698866845,38481.03250948275,40279.40405780156,38353.84009226146,1470.024095422781,254.7298816430143,0.24635765016776867,-18012.82160300789,12.933646151531475,1185.7282891568698,222.4552965437541,2725.692960982316,415.95663541085105,43217.98106058558,0.09999999999999994,96.65142739514279,15852816.174303325,854.2934590211087,72516.88375268453,592.0805030927781,869.2491670644806,2.334461690569846,1061.7525146679868,1.1639679601808754,3.8746599769954457,322118.94398592017
17,17,6,5,17226.698657278914,5,13,17,24,1881.6429727539035,-1744.2053056374211,25,7606980.687453602,15,37559.83877681708,37666.281551948145,38818.560464425194,38210.04931791285,1407.0343167608614,287.2174914617109,0.4821509562257035,-1968.902007504119,2.213936790561122,792.8993394823973,82.68297323417427,1985.8507164803884,210.28627966790037,42791.88759746543,0.09999999999999992,114.26287421991051,15041368.549800446,2111.6890945177533,84611.04339130643,-324.1243309462922,23.20500665634159,1.5791610317493219,840.9862570185101,1.7245237644413456,2.147766776003607,322118.94398592017
227,16,6,51,126806.41100558809,54,54,6,2,-57.56699197102512,-2528.7367421912904,3,1717136.3306123116,0,37795.73622352261,38228.401776781684,40177.359640739065,37854.52379226004,3131.561276080636,287.6292127002174,0.9271902551004845,-28764.206803314864,5.428038031153126,3113.0678278972828,57.23435181081932,3252.2654082197505,620.9475058353098,45272.41359991779,0.09999999999999994,99.72568677885707,6612051.411039287,76.74729764734298,25061.58133150763,-70.85456941304705,1985.1206668014004,0.10903413641213477,1133.8999187314298,0.30406534613723313,1.0687395811730456,322118.94398592017
35,17,1,13,26168.65343927699,5,26,45,40,-1000.9288554355072,-495.73452004336013,0,7985839.761479502,1,40854.918964835466,38410.584941764035,39611.78623418319,38809.775414605414,3811.93716335164,273.7918387797853,0.5052117312822421,-17824.062832045416,35.90204888135886,5720.713936882775,190.109286024939,353.9657855329516,189.36704004937806,45300.7328739549,0.09999999999999992,88.35745480974259,9069001.21044647,635.621570928887,54994.79652035106,-15.13588222077442,397.0787838031895,3.1974569978441876,1156.9781146750784,0.6975611254277447,2.1460437776896466,322118.94398592017
207,17,6,6,36690.87682863847,54,5,6,3,3176.1453897376896,602.3082600796824,28,3553808.8406113265,1,38173.51516724232,38093.69611700751,38478.46142654091,38479.85059434408,2474.9290540452434,272.1203437669832,0.7786432165647545,-32245.944777528013,9.882796558037244,1275.2865854677814,197.481976261278,2085.985325451301,789.9831682522415,42741.00413798241,0.09999999999999987,182.6048713645822,1533171.6671997658,-280.2261155738134,65070.61657940574,-233.7439840414953,83.85337219492415,0.5539727091537174,991.0057795424657,1.8775790377904524,1.4622001046521875,322118.94398592017
232,2,23,5,1274.6367382312337,38,31,5,17,-547.5428679611168,-978.7096315010444,1,4031518.4461153354,1,38418.42857879414,38549.53182940969,38947.25846136352,38469.13224122939,706.3459356990561,275.79658077542535,0.2057737376260249,-11668.638323558058,41.33428908907812,5258.964082404409,168.2622527250003,1254.7578447884498,775.832408616781,42595.64584706716,0.09999999999999985,65.95107445098893,14664999.48015733,1169.6576525931707,51233.82227750808,717.649774854036,909.8286866557273,2.064184954707594,1111.3773486507034,1.9537709082456787,1.7507880106676001,322118.94398592017
42,2,55,6,16376.935807711105,26,17,6,28,3032.947803300136,-964.3378912900669,26,779446.9282444688,0,41181.79511758593,37543.235002991954,41308.84718201638,38106.15536570776,2545.1194314203863,287.55036542240384,0.6743745189898446,-8677.203262853029,8.379938591557412,3358.3277610872915,78.89317181399575,621.8319296043569,341.7858392053167,42661.872705910835,0.09999999999999988,28.24189156104639,12310481.855250496,1444.1120385162342,34277.03815370364,388.58165295635865,1688.635554649435,2.034791632626417,1087.860259366762,0.39084083347716936,1.8515999893333592,322118.94398592017
80,17,54,9,5416.558809296749,28,6,24,24,450.6273777617944,1297.3956983950347,20,499345.68463029264,13,37981.12527786919,37761.376952324084,41423.85457260031,38051.81901457634,3782.3627887916423,275.7314505772677,0.41645167935473826,-13250.020516258595,10.875768273970243,4418.468928385313,92.26994010280463,4173.011053305572,537.6163050146564,44826.15127765074,0.09999999999999998,44.44979149978126,541605.2174835503,1307.5611807840214,24045.173073835995,-92.97701876849635,2890.3288881253825,0.974328993817767,944.6530274266337,1.862777560401445,1.4896796814484494,322118.94398592017
251,2,6,26,51348.94320221606,53,1,44,29,2416.193480123232,381.9799117932571,1,5818759.712443413,7,40277.03512707035,38347.321120357235,38704.48856184035,37942.17742548256,3238.3829502452963,259.46373925814726,0.882793604923094,-21221.876975350973,8.308049807600938,1891.8341399736528,217.555189989738,646.2192318321702,614.9105402005284,44942.60453730088,0.09999999999999996,124.7915331175946,14685959.914916337,1352.3735663242555,13575.84116454568,699.475325605305,2893.8895936695217,0.7885164212201654,1071.2148267516793,0.41847996542001376,2.7128762439686662,322118.94398592017
263,17,1,14,29152.560065066355,5,13,13,3,3217.7019219566628,1489.3264241321895,7,2980884.9539174233,1,41590.635239991556,38521.42514199895,39359.07116367172,38639.10843395591,1609.2884041194402,298.90508699039043,0.010882105032977929,-4772.2228908713005,15.546851727216977,5441.352536950163,207.84500777864682,2367.116859328301,344.7093531464972,43066.37546473811,0.09999999999999994,176.8111078098532,9452955.382163892,781.2485110665473,89922.54091441234,500.27087713536594,441.82686461874897,2.2092997220562745,1218.6802887034016,0.7493232465983239,2.0439541238325987,322118.94398592017
103,2,6,6,2982.7066710498757,55,6,54,22,-797.4321974360779,2149.417969933589,1,9929794.058771541,0,37596.234689547724,38648.99586785317,39129.73772201366,38876.12769095774,3717.0177373453344,284.554833453381,0.5402290001533666,-15211.227764260359,4.921590522066138,6070.251762502256,127.0362639993041,3042.843295463406,569.3189243198556,44294.69985969092,0.09999999999999984,112.87379546093376,15141533.983309725,1236.678537276051,78852.41946061038,530.0159468333645,159.92824903073904,2.597653255789051,1187.5559869913518,1.7077495310304542,2.9071493177682575,322118.94398592017
152,17,52,44,54676.88456284706,11,5,20,30,957.9846072689666,-1209.625327827034,1,5063829.487237928,4,40215.80644855128,37562.839080729966,40315.90062854793,38920.782792474034,784.652216218195,291.0027734503475,0.12923735511253742,-14105.25927186359,43.934135321914056,3289.091302496698,125.6650257544866,1070.1877325403211,484.0199311409642,43513.65601506237,0.09999999999999999,48.98117000842577,13250835.617368566,888.4865675188414,85317.15428507108,852.2924129340929,2254.4676262045778,0.062477830687792224,1222.9512363505482,0.9415803384362627,2.494382973835184,322118.94398592017
